ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,FacilityName,ActivityType,ManagedBy,Ward,Address,Postcode
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cragside,Playground,Parks and Countryside,Kirkstall,"Hawksworth, Leeds",LS5
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cranmer Bank Ball Park,Playground,Parks and Countryside,Alwoodley,Cranmer Bank Leeds,LS17
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cranmer Bank Play Area,Playground,Parks and Countryside,Alwoodley,"Cranmer Bank,",LS17
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cranmer Bank Skateboard,Skateboard Park,Parks and Countryside,Alwoodley,Cranmer Bank,LS17
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cranmore Recreation Ground,Bowling Green,Parks and Countryside,Middleton Park,,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cranmore Rise,Playground,Parks and Countryside,Middleton Park,"Middleton, Leeds",LS10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Ball Park,Ball Park Area,Parks and Countryside,Beeston & Holbeck,Beeston Leeds,LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park,Playground,Parks and Countryside,Beeston & Holbeck,"Beeston, Leeds",LS11 5LR
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park,Bowling Green,Parks and Countryside,Beeston & Holbeck,Beeston Leeds,LS11 5LR
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park,Senior,Parks and Countryside,Beeston & Holbeck,Beeston Leeds,LS11 5LR
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park,Senior,Parks and Countryside,Beeston & Holbeck,Beeston Leeds,LS11 5LR
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park (Junior),Playground,Parks and Countryside,Beeston & Holbeck,Beeston,LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cross Flatts Park Trim Trail,Playground,Parks and Countryside,Beeston & Holbeck,Beeston,LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Dartmouth Park,Playground,Parks and Countryside,Morley South,Park Avenue Leeds,LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Dartmouth Park,Senior,Parks and Countryside,,,LS27 0LA
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Deepdale Community Centre,Skateboard park,Parish Council,PARISH COUNCIL,"Deepdale Lane, Boston Spa",LS23 
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,"Deepdale, Boston Spa",Playground,Parks and Countryside,Wetherby,Deepdale Lane Leeds,LS23
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Drighlington Park,Bowling Green,Parks and Countryside,Morley North,"Whitehall Road, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Driglington Park,Playground,Parks and Countryside,Morley North,"Whitehall Road, Leeds",LS27
